GIRO,ORARIO,SPECIE,MEDIA,PIANTA,MEDIA_F,AVVISTATI,CATTURATI,POLLINE,COL_POLLINE,CORBICULA,NOTE
1,12:40:00,simil terrestris,,Trifolium sp. (rosa),,1,0,false,,false,
1,12:40:00,simil terrestris,,Trifolium sp. (rosa),,1,0,false,,false,
1,12:43:00,simil dasypoda,"DSCN33(33-39,50,51).JPG, DSCN3349.MOV",cardo,,2,1,false,,false,catturata quella su fiore sopra
1,12:53:00,simil terrestris,,cardo,,1,1,false,,false,
1,12:55:00,simil terrestris,,Stachys germanica,,3,0,false,,false,
1,12:55:00,simil lapidarius,,Stachys germanica,,2,0,false,,false,
1,12:57:00,giallo lavato nero,DSCN33(40-42).JPG,Stachys germanica,,1,0,false,,false,
1,12:59:00,simil lapidarius,,Trifolium sp. (bianco),,1,0,false,,false,
1,13:09:00,simil terrestris,,Medicago sp.,DSCN3354.JPG,1,0,false,,false,
1,13:11:00,apis mellifera ,DSCN33(55-62).JPG,Trifolium sp. (bianco),,1,0,false,,false,
1,13:16:00,simil lapidarius,,Trifolium sp.,,1,0,false,,false,
1,13:17:00,simil terrestris,DSCN33(63-68).JPG,Trifolium sp. (rosa),,1,0,true,arancio,true,
1,13:26:00,piccola scura,"DSCN33(69,70).JPG",margherita gialla,,1,0,false,,false,
1,13:32:00,simil konradini,,cardo,,1,0,false,,false,
1,13:33:00,apis mellifera,DSCN3371.JPG,Trifolium sp. (bianco),,1,0,true,arancio,true,
1,13:37:00,simil lapidarius,"DSCN33(72,73).JPG, DSCN3374.MOV",Trifolium sp. (bianco),,1,0,false,,false,
1,13:40:00,simil lapidarius,,Trifolium sp. (rosa),,1,0,false,,false,
1,13:40:00,simil lapidarius,DSCN3375.JPG,Hypericum sp.,DSCN3376.JPG,1,0,false,,true,
1,13:43:00,piccola ignota,,terra,,1,1,false,,false,
1,13:46:00,simil lapidarius,,Trifolium sp. (rosa),,1,0,false,marrone,true,
1,13:49:00,simil lapidarius banda gialla,"DSCN33(77-83).JPG, 20220626_135122.mp4",Trifolium sp. (bianco),,1,0,true,marrone,true,
1,14:00:00,simil terrestris,,Stachys germanica,,2,0,false,,false,
1,14:01:00,simil lapidarius,,Stachys germanica,,1,0,false,,false,
1,14:02:00,simil lapidarius banda gialla,,Trifolium sp. (rosa),,1,0,false,arancio,true,
1,14:02:00,simil lapidarius chiaro,"DSCN33(85-87).JPG, 20220626_140435.mp4",Trifolium sp. (bianco),,1,0,false,,false,
1,14:06:00,simil lapidarius,,Trifolium sp. (bianco),,2,1,true,marrone,true,
1,14:06:00,simil terrestris,,Trifolium sp. (bianco),,2,0,false,,false,
1,14:11:00,lapidarius banda gialla,,Trifolium sp. (bianco),,2,0,false,,false,
1,14:11:00,apis mellifera,,Trifolium sp. (bianco),,1,0,false,,false,
1,14:12:00,simil terrestris,,Trifolium sp. (bianco),,1,0,true,marrone,true,
1,14:17:00,simil lapidarius banda gialla,,Trifolium sp.,,1,1,true,marrone,true,
1,14:29:00,simil konradini,,Stachys germanica,,1,1,false,,false,
1,14:40:00,simil terrestris,,Trifolium sp. (rosa),,1,0,false,,false,
1,14:41:00,simil terrestris,,Phyteuma orbicularis,DSCN3389.JPG,1,0,false,marrone,true,
1,14:41:00,simil terrestris,DSCN3390.JPG,Verbascum sp.,,1,0,false,,true,
1,14:42:00,simil terrestris,,Phyteuma orbicularis,DSCN3389.JPG,1,0,false,,false,
1,14:42:00,simil konradini,"DSCN3391.JPG, DSCN3392.MOV",Stachys germanica,,1,0,false,,false,
1,14:43:00,simil terrestris,,Trifolium sp. (rosa),,1,0,false,,false,
1,14:46:00,simil lapidarius banda gialla,,Trifolium sp. (bianco),,1,0,false,,false,
1,14:47:00,simil terrestris,,Trifolium sp. (bianco),,1,0,false,,false,
1,14:49:00,simil terrestris,,Trifolium sp. (rosa),,1,0,false,,false,
1,14:52:00,simil terrestris sospetto DWV,,Thymus sp.,,1,1,false,,false,
1,15:04:00,biondo e nero,"DSCN3399.JPG, DSCN34(00,01,03-05).JPG, DSCN3402.MOV ","Thymus sp., Trifolium sp.",,1,0,true,marrone,true,
1,15:18:00,simil terrestris,DSCN3407.JPG,Vicia sp.,DSCN3408.JPG,1,0,false,,false,
1,15:33:00,apis mellifera,"DSCN34(09-11,14,16).JPG",Thymus sp.,,1,0,false,,false,
2,16:47:00,simil lapidarius banda gialla,DSCN34(44-45).JPG,Phyteuma orbicularis,,2,0,false,,false,
2,16:50:00,simil terrestris,,Trifolium sp. (rosa),,2,0,false,,false,
2,16:52:00,simil terrestris,,Trifolium sp. (bianco),,1,0,false,,false,
2,16:53:00,simil terrestris sospetto DWV,,Trifolium sp. (bianco),,1,0,false,,false,
2,16:57:00,apis mellifera,,Trifolium sp. (bianco),,1,0,false,,false,
2,16:58:00,piccola ignota,,fiore piccolo giallo,"DSCN34(57,58).JPG",1,0,false,,false,
2,17:00:00,simil terrestris,,Trifolium sp. (rosa),,1,0,false,arancio,true,
2,17:06:00,strano,"DSCN34(59-68,72,76).JPG, DSCN3475.MOV",Betonica alopecuros,,1,0,false,,false,
2,17:14:00,simil lapidarius banda gialla,,Trifolium sp.,,1,0,false,marrone,true,
2,17:15:00,simil terrestris,,Trifolium sp.,,1,0,false,,false,
2,17:16:00,simil terrestris,,Trifolium sp. (rosa),,2,0,false,,false,
2,17:20:00,simil lapidarius,,Stachys germanica,,1,0,false,marrone,true,
2,17:20:00,simil lapidarius,,Stachys germanica,,1,0,false,,false,
2,17:21:00,simil terrestris,,Stachys germanica,,1,0,false,,false,
2,17:23:00,simil konradini,,Stachys germanica,,1,0,false,marrone,true,
2,17:27:00,simil konradini,,Loteae (tribù),DSCN3482.JPG,1,0,false,,false,
2,17:30:00,simil lapidarius banda gialla,,Trifolium sp. (bianco),,1,0,true,giallo scuro,true,
2,17:34:00,simil terrestris,,Trifolium sp. (bianco),,1,0,false,,false,
2,17:35:00,simil lapidarius banda gialla,,"Trifolium sp. (bianco), Medicago sp.",,1,0,false,,false,
