GIRO,ORARIO,SPECIE,MEDIA,PIANTA,MEDIA_F,AVVISTATI,CATTURATI,POLLINE,COL_POLLINE,CORBICULE,NOTE
1,12:41:00,simil terrestris,,Clinopodium alpinum,foto cell,1,0,true,arancio,true,
1,15:35,simil lapidarius banda gialla,,terra,,1,1,true,marrone,true,morto polline in campione
1,15:50,simil terrestris seconda banda gialla chiara,,Scrophularia peregrina,,1,1,false,,false,
1,15:57,simil terrestris,,Scrophularia peregrina,,1,0,false,,false,
1,15:57,simil lapidarius,,Scrophularia peregrina,,1,0,false,arancio,true,
1,16:00,simil konradini,,Scrophularia peregrina,,1,1,true,arancio,true,
1,16:05,simil konradini,,Scrophularia peregrina,,1,0,true,giallo chiaro,true,
1,16:10,gngnr,,cardo,,1,0,false,,false,
1,16:13,simil lapidarius banda gialla,,Trifolium sp.,,1,0,false,,false,
1,16:20,nero due bande gialle ,video cell,cardo,,1,0,false,,false,
1,16:25,xylocopa ,"DSCN3488.JPG, DSCN3489.MOV",cardo,,1,0,false,,false,
1,16:32,simil lapidarius banda gialla,,cardo,,1,0,false,,false,
1,16:32,nero due bande gialle,,cardo,,1,0,false,,false,
1,16:33,xylocopa marrone ,DSCN34(94-97).JPG,cardo,,1,0,false,,false,
1,16:34,simil lapidarius banda gialla,"DSCN34(98,99).JPG",cardo,,1,0,false,,false,
1,16:34,"gngnr,simil terrestris","DSCN3500.JPG, DSCN3501.MOV",cardo,,2,0,false,,false,
1,16:35,simil terrestris ,"DSCN3502.JPG, DSCN3503.MOV",cardo,,1,0,false,,false,
1,16:37,simil terrestris,DSCN350(4-6).JPG,Thymus sp.,,1,0,false,,false,
1,16:40,simil terrestris seconda banda chiara,DSCN35(08-10).JPG,Trifolium sp.,,1,0,false,,false,
1,16:40,simil terrestris seconda banda chiara,DSCN3507.JPG,Trifolium sp.,,1,0,false,arancio,true,
1,16:43,simil terrestris seconda banda chiara,,Trifolium sp.,,1,0,false,,false,
1,16:44,simil terrestris seconda banda chiara,,Trifolium sp.,,1,0,false,,false,
1,16:46,simil terrestris,,Trifolium sp.,,1,0,true,marrone,true,
1,16:49,simil terrestris seconda banda chiara,,Trifolium sp.,,1,0,false,,false,
1,16:51,simil terrestris,,Trifolium sp.,,1,0,false,,false,
1,16:52,simil terrestris seconda banda chiara,DSCN35(12-14).JPG,Oxytropis campestris,DSCN35(15-17).JPG,1,0,false,,false,
2,16:57,xylocopa blu,"DSCN35(22,23).JPG",Oxytropis campestris,,1,0,false,,false,
2,16:58,simil lapidarius,DSCN3524.JPG,Oxytropis campestris,,1,0,false,,true,
2,17:00,gngnr,,terra,,1,0,false,,false,
2,17:02,simil terrestris,,Trifolium sp.,,1,0,false,,false,
2,17:05,simil terrestris,,Trifolium sp.,,3,0,false,,false,
2,17:05,simil terrestris,,Trifolium sp.,,3,0,false,,false,
2,17:06,simil terrestris seconda banda chiara,,Trifolium sp.,,1,0,false,,false,
2,17:07,simil terrestris seconda banda chiara,,Thymus sp. (strano),DSCN35(31-34).JPG,1,0,false,,false,
2,17:08,gngnr,DSCN35(35-36).JPG,cardo,,1,0,false,,false,
2,17:08,simil lapidarius,,cardo,,1,0,false,marrone,true,
2,17:09,xylocopa marrone,"DSCN35(37,38).JPG",cardo,,1,0,false,,false,
2,17:10,gngnr,,Trifolium sp.,,1,0,false,,false,
2,17:12,simil terrestris,,Scrophularia peregrina,,1,0,false,arancio,true,
